bank_id,bank_name,loan_type,roi_min,roi_max,benchmark,processing_fee,tenure_max_years,source,source_updated,notes
sbi,State Bank of India (SBI),home_loan,7.25,9.05,Lender benchmark / risk-based pricing,0.35% + GST; lender conditions apply,30,BankBazaar / Paisabazaar comparison; verify official lender schedule,Aug–Sep 2026,Approximate reference only.
hdfc,HDFC Bank,home_loan,7.2,,Lender benchmark / risk-based pricing,Up to 0.50% / lender schedule,30,BankBazaar / Paisabazaar comparison; verify official lender schedule,Aug–Sep 2026,Approximate reference only.
icici,ICICI Bank,home_loan,7.5,,Lender benchmark / risk-based pricing,As per lender schedule,30,BankBazaar / Paisabazaar comparison; verify official lender schedule,Aug–Sep 2026,Approximate reference only.
axis,Axis Bank,home_loan,8.0,9.1,Lender benchmark / risk-based pricing,Up to 1% + applicable taxes,30,BankBazaar / Paisabazaar comparison; verify official lender schedule,Aug–Sep 2026,Approximate reference only.
kotak,Kotak Mahindra Bank,home_loan,7.6,,Lender benchmark / risk-based pricing,Up to 2% + GST; schemes may vary,20,BankBazaar / Paisabazaar comparison; verify official lender schedule,Aug–Sep 2026,Approximate reference only.
union,Union Bank of India,home_loan,7.15,12.65,Lender benchmark / risk-based pricing,Up to 0.50%; lender caps apply,30,BankBazaar / Paisabazaar comparison; verify official lender schedule,Aug–Sep 2026,Approximate reference only.
bob,Bank of Baroda,home_loan,7.2,8.95,Lender benchmark / risk-based pricing,"Approx. ₹8,500–₹25,000; verify",30,BankBazaar / Paisabazaar comparison; verify official lender schedule,Aug–Sep 2026,Approximate reference only.
central,Central Bank of India,home_loan,7.0,8.75,Lender benchmark / risk-based pricing,Up to 0.50%; max may apply,30,BankBazaar / Paisabazaar comparison; verify official lender schedule,Aug–Sep 2026,Approximate reference only.
boi,Bank of India,home_loan,7.1,10.25,Lender benchmark / risk-based pricing,Up to 0.25%; min/max may apply,30,BankBazaar / Paisabazaar comparison; verify official lender schedule,Aug–Sep 2026,Approximate reference only.
canara,Canara Bank,home_loan,7.15,10.0,Lender benchmark / risk-based pricing,As per lender schedule,30,BankBazaar / Paisabazaar comparison; verify official lender schedule,Aug–Sep 2026,Approximate reference only.
federal,Federal Bank,home_loan,7.3,10.75,Lender benchmark / risk-based pricing,As per lender schedule,30,BankBazaar / Paisabazaar comparison; verify official lender schedule,Aug–Sep 2026,Approximate reference only.
idbi,IDBI Bank,home_loan,7.35,,Lender benchmark / risk-based pricing,As per lender schedule,30,BankBazaar / Paisabazaar comparison; verify official lender schedule,Aug–Sep 2026,Approximate reference only.
idfc,IDFC FIRST Bank,home_loan,8.85,,Lender benchmark / risk-based pricing,As per lender schedule,30,BankBazaar / Paisabazaar comparison; verify official lender schedule,Aug–Sep 2026,Approximate reference only.
lic_hf,LIC Housing Finance,home_loan,7.15,10.0,Lender benchmark / risk-based pricing,As per lender schedule,30,BankBazaar / Paisabazaar comparison; verify official lender schedule,Aug–Sep 2026,Approximate reference only.
pnb,Punjab National Bank,home_loan,7.2,9.3,Lender benchmark / risk-based pricing,As per lender schedule,30,BankBazaar / Paisabazaar comparison; verify official lender schedule,Aug–Sep 2026,Approximate reference only.
pnb_hf,PNB Housing Finance,home_loan,7.5,,Lender benchmark / risk-based pricing,As per lender schedule,30,BankBazaar / Paisabazaar comparison; verify official lender schedule,Aug–Sep 2026,Approximate reference only.
rbl,RBL Bank,home_loan,8.2,,Lender benchmark / risk-based pricing,As per lender schedule,25,BankBazaar / Paisabazaar comparison; verify official lender schedule,Aug–Sep 2026,Approximate reference only.
tata_hf,Tata Capital Housing Finance,home_loan,7.75,,Lender benchmark / risk-based pricing,As per lender schedule,30,BankBazaar / Paisabazaar comparison; verify official lender schedule,Aug–Sep 2026,Approximate reference only.
godrej_hf,Godrej Housing Finance,home_loan,7.65,,Lender benchmark / risk-based pricing,As per lender schedule,30,BankBazaar / Paisabazaar comparison; verify official lender schedule,Aug–Sep 2026,Approximate reference only.
homefirst,Home First Finance,home_loan,8.0,,Lender benchmark / risk-based pricing,As per lender schedule,25,BankBazaar / Paisabazaar comparison; verify official lender schedule,Aug–Sep 2026,Approximate reference only.
jio_hf,Jio Housing Finance,home_loan,8.2,,Lender benchmark / risk-based pricing,As per lender schedule,30,BankBazaar / Paisabazaar comparison; verify official lender schedule,Aug–Sep 2026,Approximate reference only.
piramal_hf,Piramal Finance,home_loan,9.99,,Lender benchmark / risk-based pricing,As per lender schedule,30,BankBazaar / Paisabazaar comparison; verify official lender schedule,Aug–Sep 2026,Approximate reference only.
sammaan,Sammaan Capital,home_loan,8.75,,Lender benchmark / risk-based pricing,As per lender schedule,25,BankBazaar / Paisabazaar comparison; verify official lender schedule,Aug–Sep 2026,Approximate reference only.
aditya_birla,Aditya Birla Finance,home_loan,7.75,11.85,Lender benchmark / risk-based pricing,Contact lender / current schedule,25,BankBazaar / Paisabazaar comparison; verify official lender schedule,Aug–Sep 2026,Approximate reference only.
gic_hf,GIC Housing Finance,home_loan,8.2,10.8,Lender benchmark / risk-based pricing,"Approx. ₹2,500 + GST",30,BankBazaar / Paisabazaar comparison; verify official lender schedule,Aug–Sep 2026,Approximate reference only.
truhome,Truhome Finance,home_loan,8.5,21.0,Lender benchmark / risk-based pricing,At lender discretion,25,BankBazaar / Paisabazaar comparison; verify official lender schedule,Aug–Sep 2026,Approximate reference only.
sbi,State Bank of India (SBI),personal_loan,10.0,15.0,Lender benchmark / risk-based pricing,Up to 1.50%,7,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
hdfc,HDFC Bank,personal_loan,9.99,24.0,Lender benchmark / risk-based pricing,"Up to ₹6,500 + GST",7,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
icici,ICICI Bank,personal_loan,9.99,16.5,Lender benchmark / risk-based pricing,Up to 2% + GST,6,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
axis,Axis Bank,personal_loan,9.99,21.55,Lender benchmark / risk-based pricing,Up to 2%,7,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
kotak,Kotak Mahindra Bank,personal_loan,9.99,,Lender benchmark / risk-based pricing,Up to 5%,6,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
idfc,IDFC FIRST Bank,personal_loan,9.99,,Lender benchmark / risk-based pricing,Up to 3.5%,7,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
indusind,IndusInd Bank,personal_loan,10.35,,Lender benchmark / risk-based pricing,Up to 3.5%,6,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
yes,YES Bank,personal_loan,10.85,21.0,Lender benchmark / risk-based pricing,Up to 2.5%,7,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
bob,Bank of Baroda,personal_loan,10.15,18.0,Lender benchmark / risk-based pricing,Up to 2%; cap may apply,7,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
boi,Bank of India,personal_loan,10.85,16.15,Lender benchmark / risk-based pricing,Up to 1%; min/max may apply,7,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
bom,Bank of Maharashtra,personal_loan,8.75,13.55,Lender benchmark / risk-based pricing,Up to 1%,7,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
canara,Canara Bank,personal_loan,9.7,15.15,Lender benchmark / risk-based pricing,Up to 0.5%,7,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
central,Central Bank of India,personal_loan,9.85,11.65,Lender benchmark / risk-based pricing,Up to 1%,7,Paisabazaar / BankBazaar comparison; verify official lender schedule,Aug–Sep 2026,Risk-based pricing; actual offer can differ.
